route,direction,scheduled,actual,minutes_late
C,northbound,2016-03-27 09:15:28,2016-03-27 09:06:03,-9.416666666666666
C,northbound,2016-03-27 01:05:25,2016-03-27 01:05:01,-0.4
C,northbound,2016-03-27 23:00:25,2016-03-27 22:59:45,-0.6666666666666666
C,northbound,2016-03-27 20:45:25,2016-03-27 20:50:17,4.866666666666666
C,northbound,2016-03-27 18:30:28,2016-03-27 18:28:59,-1.4833333333333334
C,northbound,2016-03-27 16:00:28,2016-03-27 15:56:48,-3.6666666666666665
C,northbound,2016-03-27 13:30:28,2016-03-27 13:30:24,-0.06666666666666667
C,northbound,2016-03-27 11:00:28,2016-03-27 10:57:45,-2.716666666666667
C,northbound,2016-03-27 08:30:28,2016-03-27 08:27:42,-2.7666666666666666
C,northbound,2016-03-27 06:30:28,2016-03-27 06:30:22,-0.1
C,northbound,2016-03-27 14:30:28,2016-03-27 14:24:56,-5.533333333333333
C,northbound,2016-03-27 12:00:28,2016-03-27 11:58:22,-2.1
C,northbound,2016-03-27 09:30:28,2016-03-27 09:27:50,-2.6333333333333333
C,northbound,2016-03-27 05:25:28,2016-03-27 05:25:01,-0.45
C,northbound,2016-03-27 07:30:28,2016-03-27 07:27:38,-2.8333333333333335
C,northbound,2016-03-27 19:30:25,2016-03-27 19:32:49,2.4
C,northbound,2016-03-27 17:15:28,2016-03-27 17:14:12,-1.2666666666666666
C,northbound,2016-03-27 14:45:28,2016-03-27 14:40:28,-5.0
C,northbound,2016-03-27 12:15:28,2016-03-27 12:11:46,-3.7
C,northbound,2016-03-27 09:45:28,2016-03-27 09:41:48,-3.6666666666666665
C,northbound,2016-03-27 22:00:25,2016-03-27 22:05:03,4.633333333333334
C,northbound,2016-03-27 19:45:25,2016-03-27 19:50:20,4.916666666666667
C,northbound,2016-03-27 17:30:28,2016-03-27 17:25:04,-5.4
C,northbound,2016-03-27 15:00:28,2016-03-27 14:55:33,-4.916666666666667
C,northbound,2016-03-27 12:30:28,2016-03-27 12:25:00,-5.466666666666667
C,northbound,2016-03-27 10:00:28,2016-03-27 09:54:21,-6.116666666666666
C,northbound,2016-03-27 05:45:28,2016-03-27 05:42:17,-3.183333333333333
C,northbound,2016-03-27 00:30:25,2016-03-27 00:27:42,-2.716666666666667
C,northbound,2016-03-27 22:30:25,2016-03-27 22:33:15,2.8333333333333335
C,northbound,2016-03-27 20:15:25,2016-03-27 20:15:50,0.4166666666666667
C,northbound,2016-03-27 18:00:28,2016-03-27 18:00:55,0.45
C,northbound,2016-03-27 15:30:28,2016-03-27 15:24:50,-5.633333333333334
C,northbound,2016-03-27 13:00:28,2016-03-27 12:55:38,-4.833333333333333
C,northbound,2016-03-27 10:30:28,2016-03-27 10:24:56,-5.533333333333333
C,northbound,2016-03-27 08:00:28,2016-03-27 07:58:24,-2.066666666666667
C,northbound,2016-03-27 06:00:28,2016-03-27 05:59:38,-0.8333333333333334
C,northbound,2016-03-27 23:30:25,2016-03-27 23:31:35,1.1666666666666667
C,northbound,2016-03-27 21:15:25,2016-03-27 21:18:18,2.8833333333333333
C,northbound,2016-03-27 19:00:25,2016-03-27 18:58:08,-2.283333333333333
C,northbound,2016-03-27 16:30:28,2016-03-27 16:26:28,-4.0
C,northbound,2016-03-27 14:00:28,2016-03-27 13:57:05,-3.3833333333333333
C,northbound,2016-03-27 11:30:28,2016-03-27 11:27:14,-3.2333333333333334
C,northbound,2016-03-27 09:00:28,2016-03-27 09:02:37,2.15
C,northbound,2016-03-27 07:00:28,2016-03-27 06:59:42,-0.7666666666666667
C,northbound,2016-03-27 22:45:25,2016-03-27 22:45:01,-0.4
C,northbound,2016-03-27 20:30:25,2016-03-27 20:31:33,1.1333333333333333
C,northbound,2016-03-27 18:15:28,2016-03-27 18:15:22,-0.1
C,northbound,2016-03-27 13:15:28,2016-03-27 13:08:46,-6.7
C,northbound,2016-04-08 23:30:25,2016-04-08 23:24:44,-5.683333333333334
C,northbound,2016-04-08 21:15:25,2016-04-08 21:11:39,-3.7666666666666666
